"sbj","block_id","trial","type","stim_dir","sacc_dir","sacc_time","sbj_id","test_num","peak_velocity","gain","age"
6,1,1,1,0,0,267,"A7",1,384,0.833,0
6,1,2,1,0,0,286,"A7",1,381,0.831,0
6,1,3,1,0,0,391,"A7",1,352,0.891,0
6,1,4,1,1,1,232,"A7",1,364,0.845,0
6,1,5,1,1,0,116,"A7",1,52,0.065,0
6,1,6,1,1,1,187,"A7",1,356,0.9,0
6,1,7,1,0,0,231,"A7",1,78,0.106,0
6,1,8,1,0,0,282,"A7",1,310,0.784,0
6,1,9,1,0,0,292,"A7",1,329,0.823,0
6,1,11,1,1,1,277,"A7",1,438,0.969,0
6,1,12,1,1,1,168,"A7",1,59,0.069,0
6,1,13,1,1,0,84,"A7",1,163,0.729,0
6,1,14,1,0,0,499,"A7",1,322,0.805,0
6,1,15,1,1,1,221,"A7",1,390,0.906,0
6,1,16,1,0,1,141,"A7",1,78,0.098,0
6,1,17,1,1,0,54,"A7",1,2256,0.148,0
6,1,18,1,0,0,232,"A7",1,304,0.829,0
6,1,19,1,0,0,291,"A7",1,342,0.839,0
6,1,20,1,1,1,266,"A7",1,371,0.857,0
6,1,21,1,1,1,346,"A7",1,455,0.931,0
6,1,22,1,1,1,173,"A7",1,411,0.936,0
6,1,23,1,1,1,304,"A7",1,391,0.826,0
6,1,24,1,0,0,239,"A7",1,355,0.869,0
6,1,26,1,1,1,318,"A7",1,67,0.093,0
6,1,27,1,0,0,210,"A7",1,277,0.803,0
6,1,28,1,1,0,90,"A7",1,70,0.094,0
6,1,30,1,0,0,215,"A7",1,282,0.763,0
6,1,32,1,1,1,474,"A7",1,381,0.774,0
6,1,33,1,0,0,276,"A7",1,334,0.894,0
6,1,34,1,0,0,168,"A7",1,371,0.816,0
6,1,35,1,1,0,88,"A7",1,83,0.117,0
6,1,36,1,0,0,167,"A7",1,125,0.662,0
6,1,37,1,1,0,75,"A7",1,57,0.08,0
6,1,40,1,1,1,60,"A7",1,131,0.218,0
6,1,41,1,0,0,231,"A7",1,369,0.811,0
6,1,42,1,1,1,122,"A7",1,72,0.095,0
6,1,43,1,0,0,55,"A7",1,56,0.075,0
6,1,44,1,0,0,99,"A7",1,68,0.086,0
6,1,45,1,1,1,339,"A7",1,154,0.677,0
6,1,47,1,1,1,164,"A7",1,104,0.214,0
6,1,48,1,0,0,116,"A7",1,116,0.118,0
6,1,49,1,0,0,323,"A7",1,376,0.73,0
6,1,50,1,0,0,82,"A7",1,87,0.096,0
6,1,51,1,1,1,209,"A7",1,381,0.815,0
6,1,52,1,1,1,53,"A7",1,3270,0.539,0
6,1,53,1,0,0,432,"A7",1,760,0.905,0
6,1,54,1,1,1,147,"A7",1,369,0.903,0
6,1,55,1,1,1,250,"A7",1,1816,0.381,0
6,1,56,1,1,1,626,"A7",1,50,0.069,0
6,1,57,1,1,1,212,"A7",1,180,0.346,0
6,1,58,1,0,0,231,"A7",1,2726,1.49,0
6,1,60,1,1,1,345,"A7",1,503,1.581,0
6,2,1,0,0,1,338,"A7",1,388,0.893,0
6,2,2,0,0,0,65,"A7",1,94,0.135,0
6,2,4,0,1,0,382,"A7",1,1685,1.588,0
6,2,5,0,1,1,106,"A7",1,78,0.122,0
6,2,6,0,0,0,171,"A7",1,188,0.389,0
6,2,8,0,0,1,246,"A7",1,175,0.725,0
6,2,9,0,1,1,193,"A7",1,1741,0.653,0
6,2,10,0,1,0,274,"A7",1,2510,0.851,0
6,2,11,0,1,0,737,"A7",1,2336,0.875,0
6,2,12,0,0,0,249,"A7",1,353,0.819,0
6,2,13,0,1,1,314,"A7",1,385,0.996,0
6,2,14,0,1,0,357,"A7",1,71,0.103,0
6,2,15,0,0,1,204,"A7",1,3141,0.49,0
6,2,16,0,0,0,214,"A7",1,58,0.085,0
6,2,17,0,1,0,269,"A7",1,249,0.761,0
6,2,18,0,0,1,279,"A7",1,132,0.986,0
6,2,19,0,0,1,168,"A7",1,89,0.115,0
6,2,20,0,1,1,289,"A7",1,417,0.856,0
6,2,21,0,1,0,483,"A7",1,280,0.81,0
6,2,23,0,1,0,80,"A7",1,90,0.175,0
6,2,24,0,1,0,391,"A7",1,262,0.673,0
6,2,26,0,1,1,241,"A7",1,308,0.928,0
6,2,28,0,0,1,97,"A7",1,1241,1.279,0
6,2,29,0,1,1,53,"A7",1,66,0.083,0
6,2,30,0,1,1,322,"A7",1,317,0.661,0
6,2,31,0,0,1,407,"A7",1,76,0.15,0
6,2,32,0,0,0,397,"A7",1,319,0.671,0
6,2,34,0,1,0,88,"A7",1,127,0.404,0
6,2,35,0,1,0,67,"A7",1,52,0.061,0
6,2,36,0,0,0,263,"A7",1,69,0.097,0
6,2,37,0,0,1,438,"A7",1,134,0.624,0
6,2,38,0,1,0,341,"A7",1,112,0.633,0
6,2,39,0,1,0,212,"A7",1,2893,0.448,0
6,2,40,0,1,1,522,"A7",1,71,0.151,0
6,3,1,0,0,1,309,"A7",1,420,0.894,0
6,3,3,0,0,1,309,"A7",1,257,0.768,0
6,3,5,0,1,0,428,"A7",1,364,0.869,0
6,3,6,0,0,1,471,"A7",1,346,0.811,0
6,3,7,0,1,0,283,"A7",1,208,0.86,0
6,3,8,0,0,1,295,"A7",1,378,0.907,0
6,3,9,0,1,0,406,"A7",1,354,1.069,0
6,3,10,0,0,1,337,"A7",1,222,0.724,0
6,3,11,0,1,0,533,"A7",1,369,0.924,0
6,3,12,0,1,0,293,"A7",1,265,0.858,0
6,3,13,0,0,1,368,"A7",1,45,0.056,0
6,3,14,0,0,1,232,"A7",1,2679,0.266,0
6,3,15,0,1,0,427,"A7",1,2664,0.737,0
6,3,16,0,0,1,156,"A7",1,1563,0.555,0
6,3,18,0,0,1,70,"A7",1,57,0.068,0
6,3,19,0,1,0,136,"A7",1,53,0.064,0
6,3,20,0,0,0,53,"A7",1,257,0.942,0
6,3,21,0,1,1,181,"A7",1,399,0.76,0
6,3,23,0,0,0,71,"A7",1,100,0.38,0
6,3,24,0,1,1,457,"A7",1,124,0.213,0
