"id","test_nr","blok","typ","error","correct","age","rt","gain","peak_velocity"
"A0",1,1,"p",2,55,1,360.824561403509,0.915473684210526,346.263157894737
"A0",1,2,"a",7,33,1,427.925,0.76895,430.95
"A0",1,3,"a",6,33,1,411.410256410256,0.839333333333333,365.615384615385
"A0",1,4,"a",6,34,1,388.675,0.733025,383.85
"A0",1,5,"p",5,50,1,288.454545454545,0.829436363636364,347.581818181818
"A2",1,1,"p",0,59,0,232.525423728814,0.857779661016949,273.084745762712
"A2",1,2,"a",7,33,0,272.425,0.731225,198.925
"A2",1,3,"a",3,36,0,287.615384615385,0.784538461538462,221.128205128205
"A2",1,4,"a",6,34,0,283.825,0.74935,216.325
"A2",1,5,"p",0,60,0,224.75,0.768316666666667,244.95
"A4",1,1,"p",2,51,1,374.830188679245,0.784490566037736,387
"A4",1,2,"a",1,31,1,393.71875,0.59884375,391.5
"A4",1,3,"a",2,31,1,437.878787878788,0.752121212121212,483.545454545455
"A4",1,4,"a",4,30,1,458.5,0.631911764705882,467.117647058824
"A4",1,5,"p",7,52,1,324.440677966102,0.748847457627119,356.525423728814
"A9",1,1,"p",4,55,1,417.677966101695,0.689084745762712,225.118644067797
"A9",1,2,"a",2,37,1,382.589743589744,0.511692307692308,195.820512820513
"A9",1,3,"a",4,33,1,388.945945945946,0.512702702702703,204.837837837838
"A9",1,4,"a",3,35,1,381.842105263158,0.455605263157895,228.394736842105
"A9",1,5,"p",4,52,1,364.821428571429,0.691357142857143,238.428571428571
"B0",1,1,"p",2,53,1,292.036363636364,0.853018181818182,334.490909090909
"B0",1,2,"a",10,28,1,303.552631578947,0.767394736842105,315.552631578947
"B0",1,3,"a",13,26,1,309.435897435897,0.700051282051282,278.230769230769
"B0",1,4,"a",7,30,1,344.513513513513,0.869459459459459,295.351351351351
"B0",1,5,"p",4,53,1,300.017543859649,0.78219298245614,296.666666666667
"C0",1,1,"p",0,60,0,291.633333333333,0.844966666666667,322.766666666667
"C0",1,2,"a",0,40,0,324.725,0.7703,308.925
"C0",1,3,"a",1,39,0,328.325,0.793275,309.975
"C0",1,4,"a",2,37,0,312.974358974359,0.833179487179487,311.51282051282
"C0",1,5,"p",2,58,0,285.166666666667,0.8731,309.083333333333
"C1",1,1,"p",0,60,0,273.75,0.839133333333333,294.616666666667
"C1",1,2,"a",2,38,0,319.125,0.81245,304.375
"C1",1,3,"a",4,35,0,339.051282051282,0.841358974358974,341.846153846154
"C1",1,4,"a",1,38,0,296.948717948718,0.801307692307692,296.871794871795
"C1",1,5,"p",1,59,0,257.6,0.809116666666667,282.85
"C2",1,1,"p",2,58,1,253.883333333333,0.851066666666667,418.916666666667
